Username,Pro Name,Role,Region
A3m2TtbcKCd3Fu6mWc1Nr86TBBYYksOx0GaJeizRXtHEFZiOia_bl50qAariiduYT9ayK1eNxmRJiA,Zeka,MID,KR
7WlL-e6C0908KKrgLNhBqzjURFc0gioCqiDs-UZew0JaLV2NR28yFvSqx8GVwNcp9Cco__Y24LX-5w,Clozer,MID,KR
jjIrdnjLfOndMBdfuCnthi2oJwwSGbDkpdMm4xjZOAPgojVCfwc6Ikij22--JwbEthBpPo5kMncIWQ,Aiming,ADC,KR
7BSkH93ho_cHb9jgN4q37mNfVut0Wkr_bKub9yqdXRc5KPO3e2HgUCynW4gdpuYcDFiwMSwLXk_pnw,OnFleek,JG,KR
q3ayF3snqBIZnJNGj9e5FVFrQyjJEMPhf-xto2LHXidnZYMetMUfKK4M0ISIL5Mg5SxT0ie4wiJkuQ,DuDu,TOP,KR
uf22ZIrFwRcb9QFm5JJL2OGrKZ4PgjpmlN1fKmJgar1CrVnzJy1WaCaGOth6u-sVcF0GyuLtq3k6FA,Life,SUP,KR
Qz-jdVpdpBaYa9t6nby8wAvuxQxyzn78HxlXSwMjrMTKtanOOmxVOOLWuM2P4YGWrQKlWqiXuhsjIA,Asper,SUP,KR
xonFjIz4gYugmtzyfvHpPKMFmyFmj146CbhBvxYu6mMVk6QdSzKX7tHepsc0JsQxrqCida7GB8yAoQ,DnDn,TOP,KR
XQt_kQ9OYOJZjlNo1BA9c9KPr_k79Dttb-4lKf2FTb0ZrlAjGoGHgaWopxlznC7aX-f9Kgs2tt3tlQ,Rascal,TOP,KR
p3bB8erX7Cm3aWlJX3W-WKjO5h7YQdrfnVIaT1CNW040AuY3dSgNLGJtDbb8m_Tp1HdM77CNTMlj-g,Croco,JG,KR
XfObcFiSOKmVDGpntdY-OTzz-9zQuOeJTKQKo83_BoLJL2F_ro1T-sonVzoRybB07BOEigcLN4LALw,Croco,JG,KR
i5pVVY9Ozw0cVu_MfSOf9YzO3MOlUW63smqMsCXIR-9bszEFwI1XhMp6aEpe0Xamf4gw6gX63QMFDA,Zeus,TOP,KR
P31L-Ko7E8af0dv6U3cNE-bMmXqylYixbQ2YIQofTcSreKOgy4JT-73y7MnDDM3OJKp9PwansXhPKA,Zeus,TOP,KR
G6dtCFETkwMBwwVTwJeJdbSswIB-rFRCXpwhVdOSGeVpt4V0f7D9fHHYSTsL2qZ6n2TS0SKPcgKNLw,Doran,TOP,KR
7J5FYa6GO2Vmqqcx4JRLuGuDOSGiZx2Nw1moBlSHWUA24BdjnD0E5aOYinAHkVlgTfICq9UoD6hV8g,Faker,MID,KR
fKBZy7zSHnPJ8-_-X5xvmf8-IfaKQtMVXsGBdDdo_eb1J9_UHJXhBMBc9jxbXB93xsRgd4JU9B97ww,SnowFlower,SUP,KR
lc13GCea6JMykrXkg_zeVFcSJajsgAB1CCpG_APMQrSuzNYd38fbucTFam8ETfhof6XP6cgr0wLaVg,Willer,JG,KR
y97_QoRhqgEw4n6lGM5XYUpqDn6U9nx1btVwJEE0JYzZQ8Q7jcn--fHr526oD9IH1kcH4fG240nCLA,Canna,TOP,KR
EhayWBCdJocU7hg0D42HmTxU0lEZAlM0_CoMxtum2oaxjqvs9yNR_cE-I78QSV4yB-AUKZspg0Z4Qw,Sw0rd,TOP,KR
PcAC_JWQMQdR-Lq-Yp6An_nvk2Z3vXjkKi0BPqaVH8-tCsMiPzlAn5jxVWydpFAB_8NPzK5rhcHlbw,Burdol,TOP,KR
SH9v3xR8ZCM-B1Cht1SrYU13zJwqQpTyjmNXC9JJHDUw7wvfWYcCAVOzxQSBoNr9CoV2k9F8vq4bTA,Chovy,MID,KR
lnyE-5S2fNuJIXJc2VI-HUb-OyZ_UBp0VGKOdTxXBwtFQhWLBc82Zm9jGZkQj_hYqomlUV1ZtL5TTQ,Deft,ADC,KR
B3I0ooVdftxI5t13NslUU-ZjFhVRGoB_BwXkRoxewjOgerhT5tzbEgjzeuNbc0Dd7TCo5eWPanA-Ug,Prince,ADC,KR
D0cwAE6zVmQ00Evdiq4oeLmXmGAsa6T5LHOd7YhwJCcpHgP2_VcrS2gIU0Pma-js-NLhO7cOgLZP1A,Kellin,SUP,KR
079xyApa2cKtgpkbTINrbQ5ClyeW0CtvvrjTH9_y3BAevad4j-JXPRrmtd2y5z-IzTomuVvl8H5iQA,Ghost,ADC,KR
suA1JSQjc4n_kTQJjdC0CD84RT2_dXzdNKElaBG1bxgKx7SAcBDzUQVzK1VTODtvZcIJZIY5aLymiQ,Keria,SUP,KR
nfQg-TytUoPadhowrVXOgM8HybcBzbRI9H7cPBOMKxR3CuD5HzBt_QTLOni1sw-OKnBCDDXNtdtvjw,Ambition,JG,KR
Wejd2CHr9RaljTqlPy5VRF3BDkqJL1v7rj60qahPnB8KgRg3QvNKpN8svgL6fNwlJkRiXBd7UQFpWw,Peanut,JG,KR
m5Bp48PC08XFY8jh-st0YiqGzeuAU9TrVx4b9Dz5t9TbIFYjlW47TrF4NtwS0v3RDbgtB3iccHiHgg,Dread,JG,KR
GDa-BDURmOPJkSJ7XgPESOOmTMY4rB5-fKNwJwrt0xTKGeLiRQYB0bCUNtnTO9Zrpne10WtvkZQANg,Lehends,SUP,KR
fUyDK_l19OBBvCo1dY2jCpf3xzKPw5TDo4_nRh4wUbDG8KwUDe9AztLkURF2lTGU1AvmYmCXt9_amA,Peyz,ADC,KR
-i3nO-hElYOd7rmJLnLRYYVBDOjjkOuTSgJln7HGZY5ARADMCN1YjsjI8mkjAW4egoV_zAzeZaIOeg,BuLLDoG,MID,KR
t51ue3assCsZQhBV2qkO9STYLnduywVwNodgR2rHu9wXDQFczu3UxRHhtd4Iv99VHx9u_7EitqqehA,Jun,SUP,KR
cm8NOFqOwkdh3e2UZkkg0Gye80fLy3XCbn43dhJuAY0rFH-1LbVRKAeWFUEzssYCdTOxtA2OM8jo9A,Pullbae,MID,KR
mEpYw07E6-sbWsnOczIvSdxqEbvM602C6JFpytF9FQJ_stM5IG4l13RKYwjgHjIHn84MONab2sWtPg,Fiesta,MID,KR
BZ1PO7tQiPjP1eIj1xfrWhhaYRqPrZRXxiOXYnZhOkA9vYfyuY3eSb2uB1EUyH5mkumXJeSjQlNKmA,Smeb,TOP,KR
xz8BQeL6vhV63XjDe9vPf27ZbtEwv-YYYFuhfLcaYYA2_OtPjCedmUYBJDae1Dnm6uW_KviU1Itl5w,Piero,SUP,KR
